feature_name,agop_mean_importance,agop_std_importance,agop_max_importance,num_leaves_detected,pca_importance,mi_importance,permutation_importance,rank_agop,rank_pca,rank_mi,rank_permutation,mean_rank,rank_spread
lotshape_Reg,3.44825218097203e-08,,3.44825218097203e-08,1,0.014265750276162132,0.07888717564572367,0.007220882678666385,114.0,57.0,40.0,76.0,71.75,74.0
garagetype_CarPort,3.121370675207407e-08,,3.121370675207407e-08,1,0.0007771393140461656,0.010462867143256949,0.000148075998731656,115.0,213.0,148.0,88.0,141.0,125.0
garagequal_Fa,2.981022502531011e-08,,2.981022502531011e-08,1,0.003785562496628185,0.011194860667999462,-0.00766650116929668,116.0,125.0,142.0,247.0,157.5,131.0
lotshape_IR2,2.9742923779499473e-08,,2.9742923779499473e-08,1,0.0023266726088564133,0.01640975518268295,-5.29538985574618e-05,117.0,155.0,115.0,226.0,153.25,111.0
foundation_BrkTil,2.7703488491874656e-08,,2.7703488491874656e-08,1,0.010886627749950969,0.01954501223661964,0.000430282240267843,118.0,67.0,105.0,84.0,93.5,51.0
garagecond_Fa,2.4970798031044337e-08,,2.4970798031044337e-08,1,0.0033134030024509413,0.01464988863989558,-0.0010075931648316327,119.0,133.0,121.0,237.0,152.5,118.0
masvnrtype_BrkCmn,2.1903990176301063e-08,,2.1903990176301063e-08,1,0.0009613577664373776,0.007613780393251668,0.00910332291823579,120.0,203.0,159.0,75.0,139.25,128.0
bldgtype_TwnhsE,1.3989458309445083e-08,,1.3989458309445083e-08,1,0.009954307170459177,0.011519027431158069,0.006732389801618411,121.0,74.0,140.0,77.0,103.0,66.0
exterior1st_WdShing,1.1999520598856482e-08,,1.1999520598856482e-08,1,0.0009739558005366958,0.010919151830676599,0.0005909530453209299,122.0,202.0,144.0,82.0,137.5,120.0
exterior2nd_Wd Sdng,1.1954858511040429e-08,,1.1954858511040429e-08,1,0.011731315474652974,0.04261349715848173,0.0045585913416289255,123.0,63.0,62.0,78.0,81.5,61.0
bsmtexposure_Mn,1.057010631686161e-08,,1.057010631686161e-08,1,0.0019666364865683302,0.017294212982223556,-0.0023356598096142987,124.0,170.0,110.0,240.0,161.0,130.0
saletype_COD,8.939533096671223e-09,,8.939533096671223e-09,1,0.0019424819656392398,0.020690223273975183,-0.0009940796357113869,125.0,171.0,102.0,236.0,158.5,134.0
landcontour_Lvl,8.860789787004192e-09,,8.860789787004192e-09,1,0.00364811949390559,0.0012775774014752717,0.0024805612905765884,126.0,126.0,208.0,80.0,135.0,128.0
functional_Min1,8.833784538286745e-09,,8.833784538286745e-09,1,0.0016535039844396947,0.0002015397970709376,-0.0002469754821504466,127.0,180.0,219.0,231.0,189.25,104.0
roofstyle_Gable,8.191871822759195e-09,,8.191871822759195e-09,1,0.010213138784301159,0.02791436885047882,0.020549154539912705,128.0,71.0,84.0,66.0,87.25,62.0
exterior1st_HdBoard,7.573059295192782e-09,,7.573059295192782e-09,1,0.00523429318826473,0.026396162347795515,-0.005480780864309054,129.0,108.0,86.0,244.0,141.75,158.0
garagefinish_Fin,7.52017398475547e-09,,7.52017398475547e-09,1,0.01603860547192294,0.10629269201459812,-0.0012880600806965958,130.0,54.0,31.0,238.0,113.25,207.0
garagefinish_Unf,7.358385179842425e-09,,7.358385179842425e-09,1,0.02776878198260665,0.22369744400305258,-0.007110224809730425,131.0,31.0,13.0,246.0,105.25,233.0
